region;key;value
Americas;USA;12780938
Asia;India;9181163
Americas;Brazil;6088004
Europe;France;2144660
Europe;Russia;2138828
Europe;Spain;1606905
Europe;UK;1527495
Europe;Italy;1431795
Americas;Argentina;1374631
Americas;Colombia;1254979
Americas;Mexico;1049358
Americas;Peru;950557
Europe;Germany;950392
Europe;Poland;909066
Asia;Iran;880542
Africa;South Africa;769759
Europe;Ukraine;647976
Europe;Belgium;559902
Americas;Chile;542080
Asia;Iraq;539749
Asia;Indonesia;506302
Europe;Czechia;496638
Europe;Netherlands;493744
Asia;Turkey;453535
Asia;Bangladesh;451990
Europe;Romania;430605
Asia;Philippines;421722
Asia;Pakistan;379883
Asia;Saudi Arabia;355741
Americas;Canada;337555
Asia;Israel;330495
Africa;Morocco;327528
Europe;Switzerland;304593
Europe;Portugal;264802
Europe;Austria;254710
Europe;Sweden;225560
Asia;Japan;132358
Africa;Egypt;113381
Africa;Ethiopia;106203
Americas;Honduras;105211
Africa;Nigeria;66439
Asia;South Korea;31353
Asia;Hong Kong;5782
