date;totalCases
2020/10/21;226073
2020/10/22;226363
2020/10/23;226695
2020/10/24;226963
2020/10/25;227193
2020/10/26;227340
2020/10/27;227559
2020/10/28;227833
2020/10/29;228128
2020/10/30;228432
2020/10/31;228756
2020/11/01;228948
2020/11/02;229040
2020/11/03;229220
2020/11/04;229490
2020/11/05;229702
2020/11/06;229954
2020/11/07;230165
2020/11/08;230299
2020/11/09;230412
2020/11/10;230559
2020/11/11;230834
2020/11/12;231074
2020/11/13;231277
2020/11/14;231479
2020/11/15;231643
2020/11/16;231733
2020/11/17;231860
2020/11/18;232147
2020/11/19;232388
2020/11/20;232653
2020/11/21;232856
